ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10367754,HZ103806,01/03/2016 10:00:00 PM,005XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1834,018,42,8,06,1177337,1904039,2016,01/10/2016 08:46:55 AM,41.892017399,-87.624165306,"(41.892017399, -87.624165306)"
10366934,HZ103105,01/03/2016 10:00:00 PM,035XX W CERMAK RD,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,RESIDENCE,false,false,1024,010,22,30,03,1153187,1889154,2016,01/10/2016 08:46:55 AM,41.851684817,-87.713252718,"(41.851684817, -87.713252718)"
10366939,HZ103115,01/03/2016 10:00:00 PM,055XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0711,007,3,68,08B,1175231,1868152,2016,01/10/2016 08:46:55 AM,41.793588177,-87.632974386,"(41.793588177, -87.632974386)"
10366978,HZ103181,01/03/2016 10:00:00 PM,012XX E 71ST ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,SIDEWALK,false,false,0321,003,5,69,02,1185453,1858150,2016,01/10/2016 08:46:55 AM,41.765907195,-87.595806104,"(41.765907195, -87.595806104)"
10367088,HZ103261,01/03/2016 10:00:00 PM,054XX S WELLS ST,0810,THEFT,OVER $500,STREET,false,false,0935,009,3,37,06,1175529,1868936,2016,01/10/2016 08:46:55 AM,41.795732885,-87.631858191,"(41.795732885, -87.631858191)"
10367172,HZ103310,01/03/2016 10:00:00 PM,105XX S ALBANY AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2211,022,19,74,06,1157520,1834497,2016,01/10/2016 08:46:55 AM,41.701611044,-87.698829557,"(41.701611044, -87.698829557)"
10367506,HZ103561,01/03/2016 10:00:00 PM,085XX S WOODLAWN AVE,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,DRIVEWAY - RESIDENTIAL,false,false,0412,004,8,45,07,1185789,1848431,2016,01/10/2016 08:46:55 AM,41.739229389,-87.594880321,"(41.739229389, -87.594880321)"
10367785,HZ103856,01/03/2016 10:00:00 PM,019XX S KEDZIE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1022,010,24,29,06,1155333,1890352,2016,01/10/2016 08:46:55 AM,41.854929471,-87.705344156,"(41.854929471, -87.705344156)"
10370587,HZ106590,01/03/2016 10:00:00 PM,011XX S LYTLE ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,false,false,1231,012,2,28,10,,,2016,01/10/2016 08:46:55 AM,,,
10372579,HZ107131,01/03/2016 10:00:00 PM,028XX S MILLARD AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,false,false,1032,010,22,30,17,,,2016,01/10/2016 08:46:55 AM,,,
10366982,HZ103083,01/03/2016 09:57:00 PM,002XX E 115TH ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,0532,005,9,53,03,1180077,1828763,2016,01/10/2016 08:46:55 AM,41.685390419,-87.616407874,"(41.685390419, -87.616407874)"
10366895,HZ103103,01/03/2016 09:51:00 PM,056XX W ADDISON ST,0560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,false,false,1633,016,38,15,08A,1138069,1923370,2016,01/10/2016 08:46:55 AM,41.945863902,-87.767912706,"(41.945863902, -87.767912706)"
10366922,HZ103113,01/03/2016 09:50:00 PM,078XX S CONSTANCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0414,004,8,43,08B,1189896,1853383,2016,01/10/2016 08:46:55 AM,41.752720443,-87.579674318,"(41.752720443, -87.579674318)"
10366986,HZ103205,01/03/2016 09:50:00 PM,023XX S RIDGEWAY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,1013,010,22,30,14,1151742,1888173,2016,01/10/2016 08:46:55 AM,41.849021345,-87.718582048,"(41.849021345, -87.718582048)"
10367363,HZ103480,01/03/2016 09:50:00 PM,024XX W 35TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0911,009,12,59,14,1160500,1881397,2016,01/10/2016 08:46:55 AM,41.830250714,-87.686626451,"(41.830250714, -87.686626451)"
10366898,HZ103108,01/03/2016 09:48:00 PM,008XX N ROCKWELL ST,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,true,false,1211,012,26,24,18,1158908,1905653,2016,01/10/2016 08:46:55 AM,41.89684438,-87.691802523,"(41.89684438, -87.691802523)"
10366942,HZ103072,01/03/2016 09:45:00 PM,055XX S JUSTINE ST,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,0713,007,16,67,07,1166954,1867942,2016,01/10/2016 08:46:55 AM,41.793192941,-87.663331471,"(41.793192941, -87.663331471)"
10367011,HZ103101,01/03/2016 09:45:00 PM,0000X S DOOR 4 ST,0460,BATTERY,SIMPLE,AIRPORT EXTERIOR - NON-SECURE AREA,false,false,0813,008,23,56,08B,,,2016,01/10/2016 08:46:55 AM,,,
10366889,HZ103075,01/03/2016 09:39:00 PM,064XX S MAPLEWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0825,008,15,66,14,1160481,1861891,2016,01/10/2016 08:46:55 AM,41.776724154,-87.687234143,"(41.776724154, -87.687234143)"
10366911,HZ103090,01/03/2016 09:35:00 PM,131XX S EBERHART AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0533,005,9,54,08B,1181769,1818231,2016,01/10/2016 08:46:55 AM,41.656450254,-87.610537295,"(41.656450254, -87.610537295)"
